Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,98.7044,-36.5252,90,top
C2,0.1uF,C_0402_1005Metric,105.184,-42.926,180,top
C3,1uF,C_0402_1005Metric,105.184,-43.942,180,top
C4,0.1uF,C_0402_1005Metric,102.4636,-35.6616,90,top
C5,1uF,C_0402_1005Metric,104.2924,-35.7124,90,top
C6,0.1uF,C_0402_1005Metric,105.3084,-35.715,90,top
C7,1uF,C_0402_1005Metric,106.3244,-35.7124,90,top
C8,1uF,C_0402_1005Metric,103.632,-43.406,-90,top
C9,1uF,C_0402_1005Metric,102.616,-43.406,-90,top
C10,1uF,C_0402_1005Metric,106.68,-43.434,-90,top
C11,1uF,C_0402_1005Metric,100.965,-42.319,90,top
C12,1uF,C_0402_1005Metric,109.347,-42.319,-90,top
C13,4.7uF,C_0402_1005Metric,112.3696,-43.7134,0,top
C14,4.7uF,C_0402_1005Metric,95.3008,-34.3408,0,top
C15,4.7uF,C_0402_1005Metric,97.4344,-32.4612,90,top
C16,1uF,C_0402_1005Metric,107.696,-43.462,-90,top
FB1,2A/50mOhm,L_0603_1608Metric,112.5474,-41.6815,-90,top
J1,AudioJack3_SwitchTR,Jack_3.5mm_CUI_SJ1-3525N_Horizontal_edge_cut,99.06,-51.312,90,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,111.4204,-46.3854,180,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,97.89,-40.64,90,top
Q1,MMBT3904,SOT-23_Silkscreen,94.32,-38.03,90,top
R1,2.2k,R_0402_1005Metric,101.981,-41.275,-90,top
R2,2.2k,R_0402_1005Metric,108.331,-41.275,-90,top
R4,47k,R_0402_1005Metric,109.982,-39.499,-90,top
R6,47k,R_0402_1005Metric,110.998,-39.499,-90,top
R7,10k,R_0402_1005Metric,97.6376,-36.5252,-90,top
R8,10,R_0402_1005Metric,112.8014,-39.243,-90,top
R9,4.7k,R_0402_1005Metric,109.982,-35.6616,90,top
R10,4.7k,R_0402_1005Metric,110.998,-35.6616,90,top
R11,47k,R_0402_1005Metric,94.488,-32.4592,90,top
R12,4.7k,R_0402_1005Metric,96.5708,-36.5252,90,top
R13,4.7k,R_0402_1005Metric,93.8276,-34.3916,90,top
U1,TLV320ADC3101,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias_drill0.3,105.14,-39.64,0,top
U2,RT9073A-18GQZ,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm_Silkscreen,96.0733,-31.9575,90,top
