Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,100.6348,-39.0398,-90,top
C2,0.1uF,C_0402_1005Metric,105.184,-42.926,180,top
C3,1uF,C_0402_1005Metric,105.184,-43.942,180,top
C4,0.1uF,C_0402_1005Metric,104.14,-35.659,90,top
C5,1uF,C_0402_1005Metric,105.156,-35.659,90,top
C6,0.1uF,C_0402_1005Metric,106.172,-35.659,90,top
C7,1uF,C_0402_1005Metric,107.188,-35.659,90,top
C8,1uF,C_0402_1005Metric,103.632,-43.406,-90,top
C9,1uF,C_0402_1005Metric,102.616,-43.406,-90,top
C10,1uF,C_0402_1005Metric,106.68,-43.434,-90,top
C11,1uF,C_0402_1005Metric,100.965,-42.319,90,top
C12,1uF,C_0402_1005Metric,109.347,-42.319,-90,top
C13,4.7uF,C_0402_1005Metric,112.3696,-43.7134,0,top
C14,4.7uF,C_0402_1005Metric,101.1936,-34.3408,180,top
C15,4.7uF,C_0402_1005Metric,97.4344,-40.4876,0,top
C16,1uF,C_0402_1005Metric,107.696,-43.462,-90,top
FB1,2A/50mOhm,L_0603_1608Metric,112.5474,-41.6815,-90,top
J1,AudioJack3_SwitchTR,Jack_3.5mm_CUI_SJ1-3525N_Horizontal_edge_cut,99.06,-54.022,0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,113.919,-46.355,-90,top
R1,2.2k,R_0402_1005Metric,101.981,-41.275,-90,top
R2,2.2k,R_0402_1005Metric,108.331,-41.275,-90,top
R4,47k,R_0402_1005Metric,109.982,-39.499,-90,top
R6,47k,R_0402_1005Metric,110.998,-39.499,-90,top
R7,10k,R_0402_1005Metric,100.7618,-35.8394,-90,top
R8,10,R_0402_1005Metric,112.8014,-39.243,-90,top
R9,4.7k,R_0402_1005Metric,110.363,-35.6362,90,top
R10,4.7k,R_0402_1005Metric,108.204,-35.6362,90,top
U1,TLV320ADC3101,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias_drill0.3,105.14,-39.64,0,top
U2,AMS1117-1.8,SOT-223-3_TabPin2,96.52,-35.56,-90,top
