Comment,Designator,Footprint,LCSC
"1uF","C1,C3,C5,C7,C8,C9,C10,C11,C12,C16","Capacitor_SMD:C_0402_1005Metric","C52923"
"4.7uF","C13,C14,C15","Capacitor_SMD:C_0402_1005Metric","C23733"
"0.1uF","C2,C4,C6","Capacitor_SMD:C_0402_1005Metric","C1525"
"2A/50mOhm","FB1","Inductor_SMD:L_0603_1608Metric","C1002"
"AudioJack3_SwitchTR","J1","Jack_3.5mm:Jack_3.5mm_CUI_SJ1-3525N_Horizontal_edge_cut","C692542"
"Conn_01x03","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C2937625"
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401"
"MMBT3904","Q1","Package_TO_SOT_SMD:SOT-23","C20526"
"2.2k","R1,R2","Resistor_SMD:R_0402_1005Metric","C25879"
"47k","R4,R6,R11","Resistor_SMD:R_0402_1005Metric","C25792"
"10k","R7","Resistor_SMD:R_0402_1005Metric","C25744"
"10","R8","Resistor_SMD:R_0402_1005Metric","C25077"
"4.7k","R9,R10,R12,R13","Resistor_SMD:R_0402_1005Metric","C25900"
"TLV320ADC3101","U1","QFN_drill0.3:VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias_drill0.3","C162409"
"RT9073A-18GQZ","U2","Package_DFN_QFN:UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm","C250431"
