Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C7",0805,4,22µF/25V,C45783
"C10, C42, C45",0402,3,4.7µF/6.3V,C23733
"C11, C8",1206,2,47µF/10V,C96123
"C14, C24",0402,2,1uF/6.3V,C52923
"C15, C16, C17, C21",0402,4,1uF,C52923
"C18, C19, C23",0402,3,0.1uF,C1525
"C2, C5",0402,2,100nF/25V,C307331
"C22, C33, C54",0402,3,4.7uF/6.3V,C23733
"C26, C27, C28, C29, C30, C31, C32, C34, C53",1206,9,100uF/6.3V,C15008
C3,0402,1,220nF/10V,C16772
"C35, C36, C40",0402,3,10nF,C15195
"C37, C39",0402,2,2.2uF,C12530
"C4, C46",0805,2,4.7µF/10V,C1779
C41,0402,1,1nF,C1523
"C43, C55, C56, C57, C59",0402,5,0.1µF/6.3V,C1525
C44,0402,1,10nF/6.3V,C15195
C6,0402,1,100nF,C1525
C9,0402,1,100nF/6.3V,C1525
D1,0603,1,KT-0603R,C2286
D2,0603,1,KT-0603W,C2290
"D3, D4",D_SOD-128,2,PMEG6030ELPX,C2908821
"D6, D7",D_SOD-323,2,1N4148WS,C2128
D8,D_SOD-323,1,1N5819WS,C191023
FB1,0603,1,~,C2649307
"J1, J10, J11, J2",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,4,Conn_01x02,C163035
J9,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,C7501277
L1,L_Sunlord_MWSA0804S,1,47µH/3A,C2962889
"Q1, Q2",SOT-23,2,AO3401A,
"R1, R43, R44",0402,3,33k,C25779
"R10, R35, R42, R5, R6",0402,5,10k,C25744
"R11, R22, R4",1206,3,0.150,C2683383
"R15, R29, R31, R41",0402,4,47k,C25792
R2,0402,1,12k,C25752
R23,0402,1,11k,C25749
"R25, R26, R45, R47",0402,4,2.2k,C25879
R27,0402,1,23k,C1152
R3,0402,1,120,C25079
R33,0402,1,10,C25077
R36,0402,1,0,C17168
R38,0402,1,1k,C11702
R39,0402,1,10 k,C25744
R40,0402,1,100k,C25741
"RV1, RV2, RV3",Potentiometer_Bourns_3314J_Vertical,3,200k,C124643
U1,SSOP-10_L4.9-W3.9-P1.00-LS6.0-BL,1,CN3791,C154992
U2,Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,INA3221,C181255
U3,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias_drill0.3,1,TLV320ADC3101,C162409
"U4, U6, U7",SOT-353_SC-70-5,3,OPA379AIDCK,C576302
U5,SOT-353_SC-70-5,1,OPA391DCKR,C2871876
U8,SOT-23,1,ISL21080CIH315Z-TK,C128623
U9,TSOT-23-5,1,RT9080-30GJ5,C965900
