Designator,Mid X,Mid Y,Rotation,Layer
C1,163.282,-99.06,270.0,top
C10,143.4,-84.74,90.0,top
C11,152.175,-103.124,180.0,top
C12,159.232,-99.06,270.0,top
C13,157.2,-99.06,270.0,top
C14,181.2,-121.2,0.0,top
C15,176.657,-116.6368,90.0,top
C16,173.3042,-116.6622,270.0,top
C17,175.6156,-116.6368,270.0,top
C18,172.8,-114.735,90.0,top
C19,176.6,-125.6,270.0,top
C2,151.7,-121.2,270.0,top
C21,171.8,-114.725,90.0,top
C22,177.6,-125.6,270.0,top
C23,174.6,-125.6,270.0,top
C24,175.6,-125.6,270.0,top
C26,184.0,-125.3,90.0,top
C27,181.5,-124.0,270.0,top
C28,184.0,-129.9,270.0,top
C29,167.9,-117.9,180.0,top
C3,151.9,-126.6,0.0,top
C30,167.9,-115.6,180.0,top
C31,167.8958,-110.998,180.0,top
C32,167.9,-113.3,180.0,top
C33,170.784,-114.7276,90.0,top
C34,165.1,-129.625,270.0,top
C35,185.7,-98.075,270.0,top
C36,184.575,-100.02,270.0,top
C37,176.911,-101.18,270.0,top
C39,175.85,-110.78,270.0,top
C4,150.8252,-98.994,270.0,top
C40,176.89,-106.91,270.0,top
C42,177.7746,-96.9008,90.0,top
C43,177.7746,-98.9558,270.0,top
C44,183.5,-98.05,90.0,top
C45,182.425,-96.85,90.0,top
C46,166.9,-97.9,270.0,top
C5,162.72,-121.7825,0.0,top
C53,175.1838,-98.171,270.0,top
C54,173.5074,-97.9,270.0,top
C55,181.483,-101.0946,270.0,top
C56,181.4576,-104.013,270.0,top
C57,181.508,-112.1286,270.0,top
C58,181.45,-106.45,270.0,top
C6,149.098,-98.298,270.0,top
C7,161.25,-99.06,270.0,top
C8,152.295,-112.776,180.0,top
C9,144.3906,-84.74,90.0,top
D1,150.8,-129.9,270.0,top
D2,152.4,-129.9,270.0,top
D3,159.6,-113.0,0.0,top
D4,152.31,-107.782,270.0,top
D8,179.26,-110.2,0.0,top
FB1,168.88,-120.8,90.0,top
J1,159.79,-91.35,0.0,top
J10,168.335,-91.3604,0.0,top
J11,176.824,-91.3604,0.0,top
J2,151.29,-91.35,0.0,top
J9,174.65,-129.73,90.0,bottom
L1,159.61,-105.92,90.0,top
Q1,153.7,-117.5,270.0,top
Q2,157.125,-117.5,270.0,top
R1,163.322,-125.48,270.0,top
R10,179.3,-121.2,180.0,top
R11,162.44,-117.5,270.0,top
R15,140.57,-86.62,270.0,top
R2,162.322,-125.47,270.0,top
R22,160.13,-117.5,270.0,top
R23,185.675,-100.025,90.0,top
R25,171.4246,-119.763,90.0,top
R26,177.8508,-119.763,270.0,top
R27,184.575,-101.915,270.0,top
R29,167.4,-126.1,180.0,top
R3,151.91,-125.5,180.0,top
R31,167.42,-123.06,180.0,top
R33,170.13,-121.72,90.0,top
R35,185.675,-101.96,270.0,top
R37,179.59,-118.28,180.0,top
R38,176.91,-103.08,90.0,top
R39,181.43,-114.76,270.0,top
R4,153.1366,-98.8822,90.0,top
R40,176.87,-110.78,90.0,top
R41,176.88,-108.83,90.0,top
R42,179.03,-108.66,0.0,top
R43,176.91,-105.0,270.0,top
R44,180.43,-114.76,90.0,top
R45,182.4,-98.825,90.0,top
R47,184.575,-98.06,90.0,top
R5,154.41,-128.87,180.0,top
R50,187.01,-120.72,90.0,top
R6,154.41,-130.9,180.0,top
RV1,159.325,-129.55,270.0,top
RV3,184.475,-114.6,90.0,top
RV4,184.49,-107.03,90.0,top
U1,157.4,-123.5075,270.0,top
U2,144.37,-89.0275,270.0,top
U3,174.6375,-121.45,180.0,top
U4,179.186,-101.6,180.0,top
U5,179.1477,-104.5,180.0,top
U6,179.25,-112.59,180.0,top
U7,179.14,-106.945,180.0,top
U8,180.05,-98.0,270.0,top
U9,170.2,-97.7,270.0,top
